"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1613452637542","main.py",""
"k","n","","73","1613460776554","plan1",""
"e","g","","73","1613460776615","plan1",""
"k","g","","74","1613460776617","plan1",""
"k"," ","","75","1613460776727","plan1",""
"e"," n","","74","1613460777149","plan1",""
"k","n","","76","1613460777151","plan1",""
"e","u","","76","1613460777349","plan1",""
"k","u","","77","1613460777351","plan1",""
"e","m","","77","1613460777918","plan1",""
"k","m","","78","1613460777920","plan1",""
"e","b","","78","1613460778062","plan1",""
"k","b","","79","1613460778064","plan1",""
"e","e","","79","1613460778289","plan1",""
"k","e","","80","1613460778290","plan1",""
"e","r","","80","1613460778367","plan1",""
"k","r","","81","1613460778369","plan1",""
"k"," ","","82","1613460778430","plan1",""
"e"," o","","81","1613460779304","plan1",""
"k","o","","83","1613460779305","plan1",""
"e","f","","83","1613460779402","plan1",""
"k","f","","84","1613460779403","plan1",""
"k"," ","","85","1613460779445","plan1",""
"e"," r","","84","1613460779867","plan1",""
"k","r","","86","1613460779869","plan1",""
"e","o","","86","1613460780029","plan1",""
"k","o","","87","1613460780031","plan1",""
"a","Backspace","","","1613460780577","plan1",""
"e","","o","86","1613460780595","plan1",""
"a","Backspace","","","1613460781075","plan1",""
"e","","r","85","1613460781093","plan1",""
"a","Backspace","","","1613460781105","plan1",""
"e",""," ","84","1613460781116","plan1",""
"a","Backspace","","","1613460781131","plan1",""
"e","","f","83","1613460781141","plan1",""
"a","Backspace","","","1613460781165","plan1",""
"e","","o","82","1613460781174","plan1",""
"a","Backspace","","","1613460781197","plan1",""
"e",""," ","81","1613460781213","plan1",""
"a","Backspace","","","1613460781225","plan1",""
"e","","r","80","1613460781244","plan1",""
"a","Backspace","","","1613460781255","plan1",""
"e","","e","79","1613460781264","plan1",""
"a","Backspace","","","1613460781284","plan1",""
"e","","b","78","1613460781293","plan1",""
"a","Backspace","","","1613460781315","plan1",""
"e","","m","77","1613460781327","plan1",""
"a","Backspace","","","1613460781344","plan1",""
"e","","u","76","1613460781353","plan1",""
"a","Backspace","","","1613460781374","plan1",""
"e","","n","75","1613460781384","plan1",""
"a","Backspace","","","1613460782354","plan1",""
"e",""," ","74","1613460782368","plan1",""
"a","Backspace","","","1613460782855","plan1",""
"e","","g","73","1613460782872","plan1",""
"a","Backspace","","","1613460782887","plan1",""
"e","","n","72","1613460782896","plan1",""
"a","Backspace","","","1613460782917","plan1",""
"e","","i","71","1613460782927","plan1",""
"a","Backspace","","","1613460782952","plan1",""
"e","","d","70","1613460782961","plan1",""
"a","Backspace","","","1613460782975","plan1",""
"e","","n","69","1613460782984","plan1",""
"a","Backspace","","","1613460783005","plan1",""
"e","","o","68","1613460783015","plan1",""
"a","Backspace","","","1613460783035","plan1",""
"e","","p","67","1613460783044","plan1",""
"a","Backspace","","","1613460783343","plan1",""
"e","","s","66","1613460783364","plan1",""
"a","Backspace","","","1613460783561","plan1",""
"e","","e","65","1613460783579","plan1",""
"a","Backspace","","","1613460783749","plan1",""
"e","","r","64","1613460783766","plan1",""
"a","Backspace","","","1613460783930","plan1",""
"e","","o","63","1613460783948","plan1",""
"a","Backspace","","","1613460784093","plan1",""
"e","","c","62","1613460784110","plan1",""
"e","t","","62","1613460785563","plan1",""
"k","t","","63","1613460785565","plan1",""
"e","h","","63","1613460785635","plan1",""
"k","h","","64","1613460785637","plan1",""
