"e","# Acetin Weight
# CS1400 - LO1 XL
# Assignment ??","","0","1612384686376","task1.py",""
"k","e","","114","1612384829977","task1.py",""
"e","s","","114","1612384830137","task1.py",""
"k","s","","115","1612384830138","task1.py",""
"e","s","","115","1612384830264","task1.py",""
"k","s","","116","1612384830265","task1.py",""
"e","i","","116","1612384830400","task1.py",""
"k","i","","117","1612384830401","task1.py",""
"e","n","","117","1612384830464","task1.py",""
"k","n","","118","1612384830465","task1.py",""
"e","g","","118","1612384830561","task1.py",""
"k","g","","119","1612384830562","task1.py",""
"e"," ","","119","1612384830689","task1.py",""
"k"," ","","120","1612384830690","task1.py",""
"e","g","","120","1612384831000","task1.py",""
"k","g","","121","1612384831000","task1.py",""
"e","a","","121","1612384831114","task1.py",""
"k","a","","122","1612384831114","task1.py",""
"a","Backspace","","","1612384831404","task1.py",""
"e","","a","121","1612384831410","task1.py",""
"a","Backspace","","","1612384831571","task1.py",""
"e","","g","120","1612384831577","task1.py",""
"a","Move Caret to Previous Word with Selection","","","1612384832213","task1.py",""
"e","","guessing ","111","1612384833072","task1.py",""
"e","G","","111","1612384833077","task1.py",""
"k","G","","112","1612384833078","task1.py",""
"e","u","","112","1612384833225","task1.py",""
"k","u","","113","1612384833225","task1.py",""
"e","e","","113","1612384833289","task1.py",""
"k","e","","114","1612384833290","task1.py",""
"e","s","","114","1612384833449","task1.py",""
"k","s","","115","1612384833449","task1.py",""
"e","s","","115","1612384833584","task1.py",""
"k","s","","116","1612384833585","task1.py",""
"e","i","","116","1612384833649","task1.py",""
"k","i","","117","1612384833649","task1.py",""
"e","n","","117","1612384833744","task1.py",""
"k","n","","118","1612384833745","task1.py",""
"e","g","","118","1612384833808","task1.py",""
"k","g","","119","1612384833809","task1.py",""
"e"," ","","119","1612384833938","task1.py",""
"k"," ","","120","1612384833938","task1.py",""
"e","G","","120","1612384834176","task1.py",""
"k","G","","121","1612384834176","task1.py",""
"e","a","","121","1612384834329","task1.py",""
"k","a","","122","1612384834330","task1.py",""
"e","m","","122","1612384834362","task1.py",""
"k","m","","123","1612384834362","task1.py",""
"e","e","","123","1612384834521","task1.py",""
"k","e","","124","1612384834522","task1.py",""
"a","Right","","","1612384835108","task1.py",""
"a","Right","","","1612384835267","task1.py",""
"a","Enter","","","1612384835724","task1.py",""
"e","
","","126","1612384835736","task1.py",""
"a","Enter","","","1612384837708","task1.py",""
"e","
","","127","1612384837720","task1.py",""
"a","Up","","","1612384837836","task1.py",""
"e","r","","127","1612384841969","task1.py",""
"k","r","","128","1612384841970","task1.py",""
"e","a","","128","1612384842065","task1.py",""
"k","a","","129","1612384842074","task1.py",""
"e","n","","129","1612384842129","task1.py",""
"k","n","","130","1612384842139","task1.py",""
"e","d","","130","1612384842225","task1.py",""
"k","d","","131","1612384842232","task1.py",""
"e",".","","131","1612384842947","task1.py",""
"k",".","","132","1612384842948","task1.py",""
"e","r","","132","1612384843239","task1.py",""
"k","r","","133","1612384843246","task1.py",""
"e","a","","133","1612384843264","task1.py",""
"k","a","","134","1612384843271","task1.py",""
"e","n","","134","1612384843400","task1.py",""
"k","n","","135","1612384843401","task1.py",""
"e","d","","135","1612384843625","task1.py",""
"k","d","","136","1612384843626","task1.py",""
"e","i","","136","1612384844016","task1.py",""
"k","i","","137","1612384844017","task1.py",""
"e","n","","137","1612384844112","task1.py",""
"k","n","","138","1612384844113","task1.py",""
"e","t","","138","1612384844176","task1.py",""
"k","t","","139","1612384844177","task1.py",""
"e","(","","139","1612384845904","task1.py",""
"e",")","","140","1612384845910","task1.py",""
"k","(","","140","1612384845910","task1.py",""
"a","Right","","","1612384851220","task1.py",""
"a","Right","","","1612384851355","task1.py",""
"a","Right","","","1612384851515","task1.py",""
"a","Right","","","1612384851643","task1.py",""
"e","o","","131","1612384852490","task1.py",""
"k","o","","132","1612384852491","task1.py",""
"e","m","","132","1612384852593","task1.py",""
"k","m","","133","1612384852600","task1.py",""
"a","Move Caret to Previous Word","","","1612384853140","task1.py",""
"e","r","","127","1612384858056","task1.py",""
"k","r","","128","1612384858056","task1.py",""
"e","a","","128","1612384858142","task1.py",""
"k","a","","129","1612384858150","task1.py",""
"e","n","","129","1612384858241","task1.py",""
"k","n","","130","1612384858249","task1.py",""
"e","d","","130","1612384858377","task1.py",""
"k","d","","131","1612384858385","task1.py",""
"e","o","","131","1612384858473","task1.py",""
"k","o","","132","1612384858478","task1.py",""
"e","m","","132","1612384858569","task1.py",""
"k","m","","133","1612384858576","task1.py",""
"e","N","","133","1612384858960","task1.py",""
"k","N","","134","1612384858961","task1.py",""
"e","u","","134","1612384859153","task1.py",""
"k","u","","135","1612384859153","task1.py",""
"e","m","","135","1612384859281","task1.py",""
"k","m","","136","1612384859281","task1.py",""
"e"," ","","136","1612384859584","task1.py",""
"k"," ","","137","1612384859584","task1.py",""
"e","=","","137","1612384859737","task1.py",""
"k","=","","138","1612384859737","task1.py",""
"e"," ","","138","1612384859835","task1.py",""
"k"," ","","139","1612384859835","task1.py",""
"a","Left","","","1612384862852","task1.py",""
"e","1","","154","1612384864811","task1.py",""
"k","1","","155","1612384864812","task1.py",""
"e",",","","155","1612384864945","task1.py",""
"k",",","","156","1612384864946","task1.py",""
"e"," ","","156","1612384865001","task1.py",""
"k"," ","","157","1612384865002","task1.py",""
"e","1","","157","1612384865192","task1.py",""
"k","1","","158","1612384865193","task1.py",""
"e","0","","158","1612384865265","task1.py",""
"k","0","","159","1612384865266","task1.py",""
"a","Creating file C:\Users\Acetin\PycharmProjects\Weight-Acetin-Unit3\plan1.txt","","","1612385023740","task1.py",""
"a","EditorChange","","","1612385026778","task1.py",""
"a","EditorChange","","","1612385027083","task1.py",""
"a","Close Active Editor","","","1612385029885","task1.py",""
"a","EditorChange","","","1612385029908","task1.py",""
"a","Switch Active Editor","","","1612385029909","task1.py",""
"a","EditorChange","","","1612385031657","task1.py",""
"a","Close Active Editor","","","1612385033048","task1.py",""
"a","EditorChange","","","1612385033077","task1.py",""
"a","Down","","","1612385046587","task1.py",""
"e","R","","0","1612385052186","plan1.txt",""
"k","R","","1","1612385052188","plan1.txt",""
"e","e","","1","1612385052369","plan1.txt",""
"k","e","","2","1612385052370","plan1.txt",""
"e","q","","2","1612385052465","plan1.txt",""
"k","q","","3","1612385052465","plan1.txt",""
"e","u","","3","1612385052600","plan1.txt",""
"k","u","","4","1612385052602","plan1.txt",""
"e","i","","4","1612385052697","plan1.txt",""
"k","i","","5","1612385052698","plan1.txt",""
"e","r","","5","1612385052825","plan1.txt",""
"k","r","","6","1612385052825","plan1.txt",""
"e","e","","6","1612385052857","plan1.txt",""
"k","e","","7","1612385052857","plan1.txt",""
"e","m","","7","1612385052985","plan1.txt",""
"k","m","","8","1612385052985","plan1.txt",""
"e","e","","8","1612385053081","plan1.txt",""
"k","e","","9","1612385053082","plan1.txt",""
"e","n","","9","1612385053185","plan1.txt",""
"k","n","","10","1612385053186","plan1.txt",""
"e","t","","10","1612385053249","plan1.txt",""
"k","t","","11","1612385053249","plan1.txt",""
"e","s","","11","1612385053377","plan1.txt",""
"k","s","","12","1612385053378","plan1.txt",""
"a","Backspace","","","1612385054412","plan1.txt",""
"e","","s","11","1612385054425","plan1.txt",""
"k"," ","","12","1612385054574","plan1.txt",""
"e"," S","","11","1612385054944","plan1.txt",""
"k","S","","13","1612385054944","plan1.txt",""
"e","p","","13","1612385055096","plan1.txt",""
"k","p","","14","1612385055097","plan1.txt",""
"e","e","","14","1612385055201","plan1.txt",""
"k","e","","15","1612385055202","plan1.txt",""
"e","c","","15","1612385055539","plan1.txt",""
"k","c","","16","1612385055539","plan1.txt",""
"e","i","","16","1612385055649","plan1.txt",""
"k","i","","17","1612385055650","plan1.txt",""
