"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1611639488983","main.py",""
"k"," ","","74","1612204890517","task1.py",""
"a","Backspace","","","1612204891336","task1.py",""
"e",""," ","73","1612204891360","task1.py",""
"a","Backspace","","","1612204891531","task1.py",""
"e","","f","72","1612204891547","task1.py",""
"a","Backspace","","","1612204891686","task1.py",""
"e","","o","71","1612204891696","task1.py",""
"a","Backspace","","","1612204891863","task1.py",""
"e",""," ","70","1612204891879","task1.py",""
"a","EditorChange","","","1612204897412","task1.py",""
"a","EditorChange","","","1612204902193","task1.py",""
"a","Backspace","","","1612204903712","task1.py",""
"e","","r","69","1612204903727","task1.py",""
"a","Backspace","","","1612204903904","task1.py",""
"e","","e","68","1612204903918","task1.py",""
"a","Backspace","","","1612204904013","task1.py",""
"e","","b","67","1612204904030","task1.py",""
"a","Backspace","","","1612204904150","task1.py",""
"e","","m","66","1612204904162","task1.py",""
"a","Backspace","","","1612204904273","task1.py",""
"e","","u","65","1612204904288","task1.py",""
"a","Backspace","","","1612204904372","task1.py",""
"e","","n","64","1612204904381","task1.py",""
"a","Backspace","","","1612204904502","task1.py",""
"e",""," ","63","1612204904516","task1.py",""
"a","Backspace","","","1612204904618","task1.py",""
"e","","r","62","1612204904631","task1.py",""
"a","Backspace","","","1612204904741","task1.py",""
"e","","e","61","1612204904756","task1.py",""
"a","Backspace","","","1612204904864","task1.py",""
"e","","t","60","1612204904875","task1.py",""
"a","Backspace","","","1612204904991","task1.py",""
"e","","n","59","1612204905007","task1.py",""
"a","Backspace","","","1612204905376","task1.py",""
"e","","e","58","1612204905389","task1.py",""
"e","P","","58","1612204905942","task1.py",""
"k","P","","59","1612204905943","task1.py",""
"e","l","","59","1612204906250","task1.py",""
"k","l","","60","1612204906251","task1.py",""
"e","e","","60","1612204906287","task1.py",""
"k","e","","61","1612204906287","task1.py",""
"e","a","","61","1612204906474","task1.py",""
"k","a","","62","1612204906474","task1.py",""
"e","s","","62","1612204906710","task1.py",""
"k","s","","63","1612204906710","task1.py",""
"e","e","","63","1612204907054","task1.py",""
"k","e","","64","1612204907055","task1.py",""
"e"," ","","64","1612204907194","task1.py",""
"k"," ","","65","1612204907194","task1.py",""
"e","e","","65","1612204907519","task1.py",""
"k","e","","66","1612204907519","task1.py",""
"e","n","","66","1612204907630","task1.py",""
"k","n","","67","1612204907631","task1.py",""
"e","t","","67","1612204907738","task1.py",""
"k","t","","68","1612204907738","task1.py",""
"e","e","","68","1612204907920","task1.py",""
"k","e","","69","1612204907920","task1.py",""
"e","r","","69","1612204908003","task1.py",""
"k","r","","70","1612204908004","task1.py",""
"e"," ","","70","1612204908182","task1.py",""
"k"," ","","71","1612204908182","task1.py",""
"e","i","","71","1612204909308","task1.py",""
"k","i","","72","1612204909308","task1.py",""
"e","n","","72","1612204909477","task1.py",""
"k","n","","73","1612204909477","task1.py",""
"e","v","","73","1612204909840","task1.py",""
"k","v","","74","1612204909840","task1.py",""
"e","e","","74","1612204910046","task1.py",""
"k","e","","75","1612204910046","task1.py",""
"e","s","","75","1612204910442","task1.py",""
"k","s","","76","1612204910442","task1.py",""
"e","t","","76","1612204911048","task1.py",""
"k","t","","77","1612204911049","task1.py",""
"e","m","","77","1612204911178","task1.py",""
"k","m","","78","1612204911178","task1.py",""
"e","e","","78","1612204911349","task1.py",""
"k","e","","79","1612204911351","task1.py",""
"e","n","","79","1612204911742","task1.py",""
"k","n","","80","1612204911742","task1.py",""
"e"," ","","80","1612204911895","task1.py",""
"k"," ","","81","1612204911896","task1.py",""
"e","a","","81","1612204912137","task1.py",""
"k","a","","82","1612204912137","task1.py",""
"e","m","","82","1612204912366","task1.py",""
"k","m","","83","1612204912367","task1.py",""
"e","o","","83","1612204912562","task1.py",""
"k","o","","84","1612204912562","task1.py",""
"e","u","","84","1612204912683","task1.py",""
"k","u","","85","1612204912683","task1.py",""
"e","n","","85","1612204912899","task1.py",""
"k","n","","86","1612204912900","task1.py",""
"e","t","","86","1612204913018","task1.py",""
"k","t","","87","1612204913019","task1.py",""
"a","Right","","","1612204914711","task1.py",""
"e"," ","","88","1612204914883","task1.py",""
"k"," ","","89","1612204914883","task1.py",""
"e","t","","80","1612204944946","task1.py",""
"k","t","","81","1612204944946","task1.py",""
"a","EditorChange","","","1612204952118","task1.py",""
"a","EditorChange","","","1612204954050","task1.py",""
"e","I","","51","1612204955950","task1.py",""
"k","I","","52","1612204955951","task1.py",""
"e","n","","52","1612204956142","task1.py",""
"k","n","","53","1612204956158","task1.py",""
"e","v","","53","1612204956553","task1.py",""
"k","v","","54","1612204956569","task1.py",""
"e","e","","54","1612204956707","task1.py",""
"k","e","","55","1612204956708","task1.py",""
"e","s","","55","1612204956937","task1.py",""
"k","s","","56","1612204956938","task1.py",""
"a","Backspace","","","1612204957859","task1.py",""
"e","","s","55","1612204957869","task1.py",""
"a","Backspace","","","1612204957998","task1.py",""
"e","","e","54","1612204958010","task1.py",""
"a","Backspace","","","1612204958137","task1.py",""
"e","","v","53","1612204958146","task1.py",""
"a","Backspace","","","1612204958237","task1.py",""
"e","","n","52","1612204958253","task1.py",""
"a","Backspace","","","1612204958540","task1.py",""
"e","","I","51","1612204958552","task1.py",""
"e","i","","51","1612204958978","task1.py",""
"k","i","","52","1612204958978","task1.py",""
"e","n","","52","1612204959144","task1.py",""
"k","n","","53","1612204959159","task1.py",""
"e","v","","53","1612204959559","task1.py",""
"k","v","","54","1612204959575","task1.py",""
"e","e","","54","1612204961099","task1.py",""
"k","e","","55","1612204961101","task1.py",""
"e","s","","55","1612204961315","task1.py",""
"k","s","","56","1612204961316","task1.py",""
"e","t","","56","1612204961502","task1.py",""
"k","t","","57","1612204961503","task1.py",""
"e","A","","57","1612204966506","task1.py",""
"k","A","","58","1612204966509","task1.py",""
"e"," ","","58","1612204967661","task1.py",""
"k"," ","","59","1612204967663","task1.py",""
"e","=","","59","1612204970770","task1.py",""
"k","=","","60","1612204970770","task1.py",""
"e"," ","","60","1612204970897","task1.py",""
"k"," ","","61","1612204970898","task1.py",""
"a","Enter","","","1612204975910","task1.py",""
"e","
","","101","1612204975924","task1.py",""
"e","p","","102","1612204976615","task1.py",""
"k","p","","103","1612204976616","task1.py",""
"e","r","","103","1612204976774","task1.py",""
"k","r","","104","1612204976784","task1.py",""
"e","i","","104","1612204977230","task1.py",""
