e,"# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
",,0,1611774420254,main.py
k,n,,71,1611774508413,task1.py
e,t,,71,1611774508498,task1.py
k,t,,72,1611774508499,task1.py
e, ,,72,1611774508668,task1.py
k, ,,73,1611774508668,task1.py
e,A,,73,1611774509082,task1.py
k,A,,74,1611774509083,task1.py
e,m,,74,1611774509259,task1.py
k,m,,75,1611774509259,task1.py
e,o,,75,1611774509531,task1.py
k,o,,76,1611774509532,task1.py
e,u,,76,1611774509652,task1.py
k,u,,77,1611774509652,task1.py
e,n,,77,1611774509883,task1.py
k,n,,78,1611774509884,task1.py
e,t,,78,1611774509934,task1.py
k,t,,79,1611774509935,task1.py
e,:,,79,1611774510729,task1.py
k,:,,80,1611774510730,task1.py
e, ,,80,1611774510972,task1.py
k, ,,81,1611774510973,task1.py
a,Left,,,1611774512762,task1.py
a,Left,,,1611774513270,task1.py
a,Left,,,1611774513271,task1.py
a,Left,,,1611774513300,task1.py
a,Left,,,1611774513331,task1.py
a,Left,,,1611774513362,task1.py
a,Left,,,1611774513392,task1.py
a,Left,,,1611774513429,task1.py
a,Left,,,1611774513430,task1.py
a,Left,,,1611774513455,task1.py
a,Left,,,1611774513487,task1.py
a,Left,,,1611774513517,task1.py
a,Left,,,1611774513551,task1.py
a,Left,,,1611774513579,task1.py
a,Left,,,1611774513608,task1.py
a,Left,,,1611774513609,task1.py
a,Left,,,1611774513640,task1.py
a,Left,,,1611774513670,task1.py
a,Left,,,1611774513700,task1.py
a,Left,,,1611774513737,task1.py
a,Left,,,1611774513778,task1.py
a,Left,,,1611774513815,task1.py
a,Left,,,1611774513845,task1.py
a,Left,,,1611774513875,task1.py
a,Left,,,1611774513908,task1.py
a,Left,,,1611774513936,task1.py
a,Left,,,1611774513966,task1.py
a,Left,,,1611774513996,task1.py
a,Left,,,1611774514026,task1.py
a,Left,,,1611774514056,task1.py
a,Left,,,1611774514087,task1.py
a,Enter,,,1611774516520,task1.py
e,"
",,51,1611774516532,task1.py
a,Down,,,1611774517007,task1.py
e,I,,52,1611774518506,task1.py
k,I,,53,1611774518506,task1.py
a,Backspace,,,1611774518814,task1.py
e,,I,52,1611774518823,task1.py
e,i,,52,1611774519213,task1.py
k,i,,53,1611774519214,task1.py
e,n,,53,1611774519288,task1.py
k,n,,54,1611774519296,task1.py
e,v,,54,1611774519333,task1.py
k,v,,55,1611774519342,task1.py
e,A,,55,1611774519799,task1.py
k,A,,56,1611774519800,task1.py
e,M,,56,1611774519910,task1.py
k,M,,57,1611774519911,task1.py
e, ,,57,1611774520833,task1.py
k, ,,58,1611774520834,task1.py
e,=,,58,1611774520870,task1.py
k,=,,59,1611774520871,task1.py
e, ,,59,1611774521781,task1.py
k, ,,60,1611774521783,task1.py
a,Down,,,1611774522400,task1.py
a,Down,,,1611774522401,task1.py
a,Up,,,1611774525389,task1.py
a,Left,,,1611774525744,task1.py
a,Left,,,1611774525937,task1.py
a,Left,,,1611774526122,task1.py
a,Backspace,,,1611774526582,task1.py
e,,M,56,1611774526601,task1.py
a,Backspace,,,1611774526754,task1.py
e,,A,55,1611774526764,task1.py
a,Backspace,,,1611774526912,task1.py
e,,v,54,1611774526924,task1.py
a,Backspace,,,1611774527122,task1.py
e,,n,53,1611774527134,task1.py
a,Backspace,,,1611774528999,task1.py
